,Class i,Class j,Statistic,P-value(rounded),P-value(exp)
2971,36.0,74.0,18.99723982673439,0.0,2.417078248533733e-71
2972,36.0,75.0,-6.719884015130034,0.0,2.952902643479133e-11
2973,36.0,76.0,5.591280494842613,0.0,2.6166521655215833e-08
2974,36.0,77.0,3.167201967043207,0.001567,0.001567359701934085
2975,36.0,78.0,23.24630177640439,0.0,3.057626635050289e-97
2976,36.0,79.0,23.95845568973894,0.0,4.881261912409398e-102
2977,36.0,80.0,18.50251438695327,0.0,2.0835078840035296e-68
2978,36.0,81.0,23.214870109081822,0.0,5.077184178373201e-97
2979,36.0,82.0,20.55801311841035,0.0,2.4489911507944417e-81
2980,36.0,83.0,23.319649472663507,0.0,3.060512724540055e-98
2981,36.0,84.0,22.47167826213964,0.0,2.677034780650336e-92
2982,36.0,85.0,17.709137531436454,0.0,1.1853415862614609e-63
2983,36.0,86.0,25.526534887025807,0.0,5.5796302532055535e-112
2984,36.0,87.0,25.79731218209107,0.0,1.5175821331899113e-114
2985,36.0,88.0,23.636934763721523,0.0,3.880853958320098e-100
2986,36.0,89.0,17.830746907782874,0.0,2.508266859729752e-64
2987,36.0,90.0,15.592351962599533,0.0,4.2005570685653225e-51
2988,36.0,91.0,24.04329227534486,0.0,9.01629188043991e-103
2989,36.0,92.0,23.271566181016155,0.0,4.07886953567604e-98
2990,36.0,93.0,-2.313287998411009,0.02087,0.020870333712787594
2991,36.0,94.0,20.370472292594176,0.0,5.21662920145629e-81
2992,36.0,95.0,17.371007088363008,0.0,7.932003665333455e-62
2993,36.0,96.0,-6.128995362995403,0.0,1.2430500932155992e-09
2994,36.0,97.0,24.222611829396186,0.0,7.00009266314503e-104
2995,36.0,98.0,25.68930026589564,0.0,2.058443457841398e-113
2996,36.0,99.0,19.770377974802223,0.0,1.537197104068385e-76
2997,37.0,38.0,9.456066885197014,0.0,1.1645401701203685e-20
2998,37.0,39.0,13.510598293961749,0.0,4.147764687595084e-39
2999,37.0,40.0,1.087680275059415,0.276882,0.27688219901577116
3000,37.0,41.0,4.825633172360304,2e-06,1.5107359304562146e-06
3001,37.0,42.0,10.95706789937052,0.0,6.1617061747267056e-27
3002,37.0,43.0,11.00136928181096,0.0,5.014128636892287e-27
3003,37.0,44.0,0.658984736485363,0.509987,0.5099873930070888
3004,37.0,45.0,-6.605785261869547,0.0,5.542731902025915e-11
3005,37.0,46.0,10.772640396114427,0.0,4.3767214336975004e-26
3006,37.0,47.0,4.9671903098150505,1e-06,7.48705395802399e-07
3007,37.0,48.0,-1.4126266480778766,0.157936,0.15793601874710897
3008,37.0,49.0,-5.909396516227761,0.0,4.4126409141762685e-09
3009,37.0,50.0,6.674831596468722,0.0,3.4265917271790285e-11
3010,37.0,51.0,7.932770396084038,0.0,4.1332765479797294e-15
